POLYGON_ID,POLYGON_NAME,POLYGON_LEVEL,POLYGON_VERSION,COUNTRY,DATE_TIME,N_BASELINE,N_CRISIS,N_DIFFERENCE,DENSITY_BASELINE,DENSITY_CRISIS,PERCENT_CHANGE,CLIPPED_Z_SCORE,LAT,LON,DS
PAK.8.5_1,Rann of Kutch,GADM2,3.6,PK,2022-08-14 16:00:00.000,178.38461538461540,152.0,-26.3846153846153870,0.0000633351685951046,0.000054623835829498884,-14.7084048027444250000,-0.84682882846538910000,27.437046652649570,68.88075685015470,2022-08-14
PAK.8.3_1,Larkana,GADM2,3.6,PK,2022-08-14 16:00:00.000,33037.06612875880000,29394.0,-3643.0661287588010000,0.0117297567878323580,0.010563243620870330000,-11.0268746196000990000,-1.24662313571658930000,27.895334562554417,68.34847452964398,2022-08-14
PAK.2.6_1,Zhob,GADM2,3.6,PK,2022-08-14 16:00:00.000,6620.04283748460800,5928.0,-692.0428374846078000,0.0023504354807441680,0.002130329597350456700,-10.4521727841217400000,-1.81773358496627350000,30.879947250445810,68.96663058059505,2022-08-14
PAK.8.4_1,Mirpur Khas,GADM2,3.6,PK,2022-08-14 16:00:00.000,29467.72802694625400,27364.0,-2103.7280269462535000,0.0104624690793951140,0.009833727918673733000,-7.1388491047954320000,-1.21311313778525380000,25.222414194595153,69.82002142729421,2022-08-14
PAK.2.5_1,Sibi,GADM2,3.6,PK,2022-08-14 16:00:00.000,4416.72189349112400,3829.0,-587.7218934911243000,0.0015681499503688430,0.001376017548625994900,-13.3037322778748880000,-2.43429622951188840000,29.488334147075516,68.57004866839137,2022-08-14
PAK.7.3_1,Faisalabad,GADM2,3.6,PK,2022-08-14 16:00:00.000,190764.15384615384000,188991.0,-1773.1538461538440000,0.0677305036631013400,0.067917193139821210000,-0.9294956706736060000,-0.21956541433509066000,31.209905085174274,72.62371843417888,2022-08-14
PAK.2.3_1,Nasirabad,GADM2,3.6,PK,2022-08-14 16:00:00.000,4855.92307692307700,4288.0,-567.9230769230771000,0.0017240876187594502,0.001540967158137442200,-11.6930630345264530000,-0.98438150546817870000,28.782993915301570,67.82819872158310,2022-08-14
PAK.8.6_1,Sukkur,GADM2,3.6,PK,2022-08-14 16:00:00.000,54710.09964266117000,50271.0,-4439.0996426611670000,0.0194247322127632100,0.018065755598583807000,-8.1137094148255140000,-0.98652815916890700000,27.039829802350530,69.02108870949430,2022-08-14
PAK.2.4_1,Quetta,GADM2,3.6,PK,2022-08-14 16:00:00.000,42979.69831594724000,45186.0,2206.3016840527634000,0.0152598722324684100,0.016238372669682477000,5.1332383383686295000,0.65287856443120300000,29.377445454266713,64.30346882797684,2022-08-14
PAK.2.1_1,Kalat,GADM2,3.6,PK,2022-08-18 16:00:00.000,7479.03679894332700,5197.0,-2282.0367989433270000,0.0026573010720446020,0.002378961139667494800,-30.5083632645457140000,-2.68138298170805500000,27.493773199641932,65.73513763364258,2022-08-18
PAK.7.7_1,Rawalpindi,GADM2,3.6,PK,2022-08-18 16:00:00.000,183282.13885666218000,132331.0,-50951.1388566621750000,0.0651201267172862000,0.060575390912707190000,-27.7991413582832970000,-4.00000000000000000000,33.195204916020860,72.72306554874687,2022-08-18
PAK.8.6_1,Sukkur,GADM2,3.6,PK,2022-08-18 16:00:00.000,54027.46153846154000,29382.0,-24645.4615384615400000,0.0191959520089921460,0.013449804927017573000,-45.6157011261870550000,-4.00000000000000000000,27.039829802350530,69.02108870949430,2022-08-18
PAK.5.5_1,Kohat,GADM2,3.6,PK,2022-08-18 16:00:00.000,17597.23076923077000,8592.0,-9005.2307692307700000,0.0062522944391314950,0.003933044855113164000,-51.1712278769281900000,-4.00000000000000000000,33.324038652215350,71.24562877885840,2022-08-18
PAK.8.3_1,Larkana,GADM2,3.6,PK,2022-08-18 16:00:00.000,32398.74612914097500,16644.0,-15754.7461291409750000,0.0115112714559755700,0.007618901136930110500,-48.6261406689567900000,-4.00000000000000000000,27.895334562554417,68.34847452964398,2022-08-18
PAK.7.8_1,Sargodha,GADM2,3.6,PK,2022-08-18 16:00:00.000,71500.76923076923000,55725.0,-15775.7692307692340000,0.0254042165905348570,0.025508487494318097000,-22.0634669610111900000,-4.00000000000000000000,32.100386779778120,71.88915810191632,2022-08-18
PAK.7.1_1,Bahawalpur,GADM2,3.6,PK,2022-08-18 16:00:00.000,97714.53846153847000,83809.0,-13905.5384615384680000,0.0347179663355681300,0.038364124332190316000,-14.2306317710276830000,-2.75868124578568600000,28.848917939976854,71.63772667830045,2022-08-18
PAK.3.1_1,F.A.T.A.,GADM2,3.6,PK,2022-08-18 16:00:00.000,21065.23076923077000,9867.0,-11198.2307692307700000,0.0074844745133293780,0.004516684542062569000,-53.1572586092945000000,-4.00000000000000000000,33.170013305044215,70.38616127056210,2022-08-18
PAK.4.1_1,Islamabad,GADM2,3.6,PK,2022-08-18 16:00:00.000,165488.74503363582000,132053.0,-33435.7450336358160000,0.0587981355635697200,0.060448134573121357000,-20.2041190086068420000,-2.65801833019303540000,33.669224708654600,73.06666567556829,2022-08-18
PAK.2.6_1,Zhob,GADM2,3.6,PK,2022-08-18 16:00:00.000,6703.07692307692300,4587.0,-2116.0769230769230000,0.0023816026010470112,0.002099729603166211000,-31.5640310717932800000,-4.00000000000000000000,30.879947250445810,68.96663058059505,2022-08-18
PAK.5.7_1,Mardan,GADM2,3.6,PK,2022-08-18 16:00:00.000,40589.69230769230500,24797.0,-15792.6923076923050000,0.0144215138637143920,0.011350990837085793000,-38.9071765220901300000,-4.00000000000000000000,34.305424712427560,72.36232932451856,2022-08-18
PAK.8.5_1,Rann of Kutch,GADM2,3.6,PK,2022-08-18 16:00:00.000,170.69230769230768,99.0,-71.6923076923076800,0.0000606469608873459,0.000045317905104306710,-41.7562724014336840000,-3.11539623733020700000,27.437046652649570,68.88075685015470,2022-08-18
PAK.2.5_1,Sibi,GADM2,3.6,PK,2022-08-18 16:00:00.000,4437.07692307692300,2958.0,-1479.0769230769229000,0.0015764930139269416,0.001354044073722618700,-33.3269780743565250000,-4.00000000000000000000,29.488334147075516,68.57004866839137,2022-08-18
PAK.7.3_1,Faisalabad,GADM2,3.6,PK,2022-08-18 16:00:00.000,187675.69230769230000,140851.0,-46824.6923076923100000,0.0666811558456837400,0.064475477291380850000,-24.9496576969313430000,-4.00000000000000000000,31.209905085174274,72.62371843417888,2022-08-18
PAK.2.4_1,Quetta,GADM2,3.6,PK,2022-08-18 16:00:00.000,43433.60753981812000,38342.0,-5091.6075398181200000,0.0154319566785163750,0.017551304217265938000,-11.7224670100920200000,-4.00000000000000000000,29.377445454266713,64.30346882797684,2022-08-18
